,County Name,State,Total
2983,Manassas City,VA,1329
2984,Manassas Park city,VA,353
2985,Martinsville city,VA,0
2986,Newport News City,VA,1953
2987,Norfolk City,VA,2281
2988,Norton city,VA,13
2989,Petersburg city,VA,390
2990,Poquoson city,VA,131
2991,Portsmouth City,VA,1302
2992,Radford city,VA,34
2993,Richmond City,VA,4067
2994,Roanoke city,VA,460
2995,Salem city,VA,76
2996,Staunton city,VA,80
2997,Suffolk City,VA,1403
2998,Virginia Beach City,VA,5898
2999,Waynesboro city,VA,126
3000,Williamsburg City,VA,445
3001,Winchester city,VA,457
3002,Statewide Unallocated,WA,16813
3003,Adams County,WA,861
3004,Asotin County,WA,174
3005,Benton County,WA,6401
3006,Chelan County,WA,1364
3007,Clallam County,WA,326
3008,Clark County,WA,5656
3009,Columbia County,WA,43
3010,Cowlitz County,WA,661
3011,Douglas County,WA,686
3012,Ferry County,WA,31
3013,Franklin County,WA,3223
3014,Garfield County,WA,0
3015,Grant County,WA,3123
3016,Grays Harbor County,WA,234
3017,Island County,WA,4302
3018,Jefferson County,WA,769
3019,King County,WA,125251
3020,Kitsap County,WA,3413
3021,Kittitas County,WA,406
3022,Klickitat County,WA,381
3023,Lewis County,WA,488
3024,Lincoln County,WA,55
3025,Mason County,WA,458
3026,Okanogan County,WA,302
3027,Pacific County,WA,28
3028,Pend Oreille County,WA,30
3029,Pierce County,WA,23523
3030,San Juan County,WA,301
3031,Skagit County,WA,5714
3032,Skamania County,WA,62
3033,Snohomish County,WA,54946
3034,Spokane County,WA,6947
3035,Stevens County,WA,181
3036,Thurston County,WA,2187
3037,Wahkiakum County,WA,41
3038,Walla Walla County,WA,562
3039,Whatcom County,WA,6525
3040,Whitman County,WA,313
3041,Yakima County,WA,14160
3042,Statewide Unallocated,WV,0
3043,Barbour County,WV,80
3044,Berkeley County,WV,2125
3045,Boone County,WV,26
3046,Braxton County,WV,17
3047,Brooke County,WV,49
3048,Cabell County,WV,509
3049,Calhoun County,WV,0
3050,Clay County,WV,0
3051,Doddridge County,WV,0
3052,Fayette County,WV,62
3053,Gilmer County,WV,0
3054,Grant County,WV,13
3055,Greenbrier County,WV,83
3056,Hampshire County,WV,90
3057,Hancock County,WV,172
3058,Hardy County,WV,58
3059,Harrison County,WV,676
3060,Jackson County,WV,1147
3061,Jefferson County,WV,1128
3062,Kanawha County,WV,2250
3063,Lewis County,WV,36
3064,Lincoln County,WV,11
3065,Logan County,WV,187
3066,McDowell County,WV,95
3067,Marion County,WV,779
3068,Marshall County,WV,182
3069,Mason County,WV,198
3070,Mercer County,WV,185
3071,Mineral County,WV,127
3072,Mingo County,WV,21
3073,Monongalia County,WV,1937
3074,Monroe County,WV,43
3075,Morgan County,WV,126
3076,Nicholas County,WV,55
3077,Ohio County,WV,510
3078,Pendleton County,WV,27
3079,Pleasants County,WV,34
3080,Pocahontas County,WV,0
3081,Preston County,WV,176
3082,Putnam County,WV,294
3083,Raleigh County,WV,151
3084,Randolph County,WV,84
3085,Ritchie County,WV,0
3086,Roane County,WV,58
3087,Summers County,WV,14
3088,Taylor County,WV,75
3089,Tucker County,WV,110
3090,Tyler County,WV,49
3091,Upshur County,WV,69
3092,Wayne County,WV,901
3093,Webster County,WV,0
3094,Wetzel County,WV,66
3095,Wirt County,WV,45
3096,Wood County,WV,497
3097,Wyoming County,WV,18
3098,Statewide Unallocated,WI,1
3099,Adams County,WI,62
3100,Ashland County,WI,38
3101,Barron County,WI,118
3102,Bayfield County,WI,90
3103,Brown County,WI,3612
3104,Buffalo County,WI,73
3105,Burnett County,WI,0
3106,Calumet County,WI,123
3107,Chippewa County,WI,462
3108,Clark County,WI,258
3109,Columbia County,WI,648
3110,Crawford County,WI,59
3111,Dane County,WI,9149
3112,Dodge County,WI,465
3113,Door County,WI,172
3114,Douglas County,WI,220
3115,Dunn County,WI,198
3116,Eau Claire County,WI,563
3117,Florence County,WI,39
3118,Fond du Lac County,WI,1536
3119,Forest County,WI,0
3120,Grant County,WI,248
3121,Green County,WI,241
3122,Green Lake County,WI,12
3123,Iowa County,WI,136
3124,Iron County,WI,43
3125,Jackson County,WI,201
3126,Jefferson County,WI,613
3127,Juneau County,WI,180
3128,Kenosha County,WI,4477
3129,Kewaunee County,WI,94
3130,La Crosse County,WI,686
3131,Lafayette County,WI,51
3132,Langlade County,WI,0
3133,Lincoln County,WI,0
3134,Manitowoc County,WI,96
3135,Marathon County,WI,337
3136,Marinette County,WI,98
3137,Marquette County,WI,62
3138,Menominee County,WI,24
3139,Milwaukee County,WI,44734
3140,Monroe County,WI,215
3141,Oconto County,WI,74
3142,Oneida County,WI,129
3143,Outagamie County,WI,735
3144,Ozaukee County,WI,1953
3145,Pepin County,WI,0
3146,Pierce County,WI,223
3147,Polk County,WI,49
3148,Portage County,WI,93
3149,Price County,WI,14
3150,Racine County,WI,2969
3151,Richland County,WI,142
3152,Rock County,WI,1440
3153,Rusk County,WI,69
3154,St. Croix County,WI,261
3155,Sauk County,WI,713
3156,Sawyer County,WI,27
3157,Shawano County,WI,103
3158,Sheboygan County,WI,897
3159,Taylor County,WI,0
3160,Trempealeau County,WI,24
3161,Vernon County,WI,1
3162,Vilas County,WI,105
3163,Walworth County,WI,1267
3164,Washburn County,WI,11
3165,Washington County,WI,1961
3166,Waukesha County,WI,5707
3167,Waupaca County,WI,88
3168,Waushara County,WI,35
3169,Winnebago County,WI,800
3170,Wood County,WI,69
3171,Statewide Unallocated,WY,0
3172,Albany County,WY,126
3173,Big Horn County,WY,13
3174,Campbell County,WY,269
3175,Carbon County,WY,122
3176,Converse County,WY,157
3177,Crook County,WY,66
3178,Fremont County,WY,1223
3179,Goshen County,WY,70
3180,Hot Springs County,WY,14
3181,Johnson County,WY,261
3182,Laramie County,WY,1596
3183,Lincoln County,WY,99
3184,Natrona County,WY,812
3185,Niobrara County,WY,16
3186,Park County,WY,39
3187,Platte County,WY,0
3188,Sheridan County,WY,364
3189,Sublette County,WY,28
3190,Sweetwater County,WY,190
3191,Teton County,WY,1340
3192,Uinta County,WY,95
3193,Washakie County,WY,110
3194,Weston County,WY,0
