,State,County,Water
152,AR,Logan County,1.0409282527728891
153,AR,Lonoke County,1.0303785163132633
154,AR,Madison County,1.2613012803762738
155,AR,Marion County,1.022572853885917
156,AR,Miller County,1.0765579543714592
157,AR,Mississippi County,1.049411997232928
158,AR,Monroe County,1.0658935160780179
159,AR,Montgomery County,1.046711509715994
160,AR,Nevada County,1.2630194634402945
161,AR,Newton County,1.303951367781155
162,AR,Ouachita County,1.1254862592546115
163,AR,Perry County,1.100310963988364
164,AR,Phillips County,1.0305642154165902
165,AR,Pike County,1.0689132382330646
166,AR,Poinsett County,1.1607458607940846
167,AR,Polk County,1.1730702665282104
168,AR,Pope County,1.0520291363163372
169,AR,Prairie County,1.0348468481025892
170,AR,Pulaski County,1.0199668550206658
171,AR,Randolph County,1.2081598667776852
172,AR,St. Francis County,1.1144033863402356
173,AR,Saline County,1.1262307498106539
174,AR,Scott County,1.1480604086467279
175,AR,Searcy County,1.2927400468384076
176,AR,Sebastian County,1.0612519906896973
177,AR,Sevier County,1.0583090379008746
178,AR,Sharp County,1.333667000333667
179,AR,Stone County,1.2482621648460774
180,AR,Union County,1.0588754783632617
181,AR,Van Buren County,1.0644122383252819
182,AR,Washington County,1.0877654906090926
183,AR,White County,1.1242544731610338
184,AR,Woodruff County,1.1216249087813184
185,AR,Yell County,1.0509139045873428
186,CA,Alameda County,1.0120146097654747
187,CA,Alpine County,1.170998632010944
188,CA,Amador County,1.0807819694644156
189,CA,Butte County,1.023999808001536
190,CA,Calaveras County,1.0558222619180528
191,CA,Colusa County,1.1508295625942684
192,CA,Contra Costa County,1.0121933375603571
193,CA,Del Norte County,1.0044551169245437
194,CA,El Dorado County,1.0125813066945133
195,CA,Fresno County,1.0187729969212285
196,CA,Glenn County,1.0712707576081533
197,CA,Humboldt County,1.0020606362832716
198,CA,Imperial County,1.0032667995165137
199,CA,Inyo County,1.0212856534695616
200,CA,Kern County,1.0315218761820704
201,CA,Kings County,1.3214400514304083
202,CA,Lake County,1.0135244793075466
203,CA,Lassen County,1.0055575624531081
204,CA,Los Angeles County,1.0014410280870785
205,CA,Madera County,1.058139534883721
206,CA,Marin County,1.003239370007321
207,CA,Mariposa County,1.0666533359994668
208,CA,Mendocino County,1.00268241782413
209,CA,Merced County,1.0225022502250225
210,CA,Modoc County,1.0034624839860116
211,CA,Mono County,1.0119198035616372
212,CA,Monterey County,1.0020340168986124
213,CA,Napa County,1.024241836561538
214,CA,Nevada County,1.0587268029128494
215,CA,Orange County,1.0063140082587227
216,CA,Placer County,1.010398361218272
217,CA,Plumas County,1.0162914209377343
218,CA,Riverside County,1.0102162786183504
219,CA,Sacramento County,1.032925062557619
220,CA,San Benito County,1.3624501631025734
221,CA,San Bernardino County,1.0204846672265808
222,CA,San Diego County,1.0031250390629882
223,CA,San Francisco County,1.0053764597088108
224,CA,San Joaquin County,1.0282701495490911
